Date;Price USD/T
01.03.2025;100.0
02.03.2025;99.43
03.03.2025;101.46
04.03.2025;101.53
05.03.2025;103.93
06.03.2025;104.69
07.03.2025;103.31
08.03.2025;103.69
09.03.2025;103.92
10.03.2025;104.36
11.03.2025;104.58
12.03.2025;101.64
13.03.2025;101.46
14.03.2025;101.0
15.03.2025;101.02
16.03.2025;100.02
17.03.2025;99.303
18.03.2025;97.500
19.03.2025;97.748
20.03.2025;98.066
21.03.2025;97.217
22.03.2025;97.182
23.03.2025;96.351
24.03.2025;96.67
25.03.2025;96.87
26.03.2025;97.5
27.03.2025;101.92
28.03.2025;103.60
29.03.2025;103.42
30.03.2025;103.04
31.03.2025;102.95
01.04.2025;102.63
02.04.2025;101.09
03.04.2025;99.434
04.04.2025;95.359
05.04.2025;95.562
06.04.2025;95.82
07.04.2025;96.490
08.04.2025;97.303
09.04.2025;96.337
10.04.2025;96.278
11.04.2025;95.040
12.04.2025;95.12
13.04.2025;95.389
14.04.2025;95.51
15.04.2025;95.49
16.04.2025;94.581
17.04.2025;95.17
18.04.2025;95.01
19.04.2025;95.02
20.04.2025;95.102
21.04.2025;95.182
