Sygnatura czasowa,Wybierz jedną z opcji,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Który wykres Twoim zdaniem jest najbardziej czytelny?,"Jak masz jakieś konstruktywne (albo nie) komentarze dotyczące wykresów, to to jest miejsce na to:","Jak chcesz się przyznać, kim jesteś, to to jest miejsce na to:"
2025-05-04 18:25:36,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,"grouped barplot (po prawej, na górze)",,Ewa/Delia
2025-05-04 18:37:52,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,"grouped barplot (po prawej, na górze)","Imo pie chart sigma jak jest dobrze opisany, z konkretnymi procentami/liczbami, ale tutaj to nie",Rzorrz!!
2025-05-04 18:39:17,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",Wykresy cool,
2025-05-04 18:39:28,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",Wykresy są super :),Wiki :D
2025-05-04 18:40:43,opcja 2,,,,brązowa szafa środkowa półka,biurko dolna półka,biurko górna półka,,,,"grouped barplot (po prawej, na górze)",Trolluję,
2025-05-04 18:41:14,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,Mhhh idk idk
2025-05-04 18:42:05,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,pie chart (po lewej),,Zuza<3
2025-05-04 18:49:05,inna odpowiedź,,,,,,,brązowa szafa górna półka,biurko dolna półka,biurko górna półka,pie chart (po lewej),,
2025-05-04 18:49:05,a,brązowa szafa dolna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Wykres kołowy pokazuje inne dane,Karina
2025-05-04 18:49:05,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,
2025-05-04 18:53:56,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",Bardzo ładny dobór kolorków :33,Rebus: 👄 + L + 56 + 13
2025-05-04 18:58:18,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",Ładny dobór kolorków :33,Rebus: 👄 + L + 56 + 13
2025-05-04 18:59:47,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,😭😭
2025-05-04 19:03:32,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Większe litery,Halina
2025-05-04 19:04:17,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,Nie
2025-05-04 19:05:44,opcja 2,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",Wymkresy,Wiki :D
2025-05-04 19:05:45,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,
2025-05-04 19:06:15,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Dane na wykresach się nie zgadzają ,Karina
