COUNTRY;Country;VARIABLE;Variable;YEAR;Year;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2012;2012;PKM;Passenger-kilometres;6;Millions;;;2611,1;;
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2013;2013;PKM;Passenger-kilometres;6;Millions;;;2598,7;;
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2014;2014;PKM;Passenger-kilometres;6;Millions;;;2535,6;;
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2015;2015;PKM;Passenger-kilometres;6;Millions;;;2395,9;;
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2016;2016;PKM;Passenger-kilometres;6;Millions;;;2436,5;;
ARM;Armenia;B-V-01_010_00;Total passengers - Passenger-km  (millions);2017;2017;PKM;Passenger-kilometres;6;Millions;;;2403,4;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2012;2012;PKM;Passenger-kilometres;6;Millions;;;161,4;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2013;2013;PKM;Passenger-kilometres;6;Millions;;;141,7;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2014;2014;PKM;Passenger-kilometres;6;Millions;;;114,7;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2015;2015;PKM;Passenger-kilometres;6;Millions;;;88,3;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2016;2016;PKM;Passenger-kilometres;6;Millions;;;71,2;;
ARM;Armenia;B-V-01_010_12;Passenger cars;2017;2017;PKM;Passenger-kilometres;6;Millions;;;66,7;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2012;2012;PKM;Passenger-kilometres;6;Millions;;;2449,7;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2013;2013;PKM;Passenger-kilometres;6;Millions;;;2457;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2014;2014;PKM;Passenger-kilometres;6;Millions;;;2420,9;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2015;2015;PKM;Passenger-kilometres;6;Millions;;;2307,6;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2016;2016;PKM;Passenger-kilometres;6;Millions;;;2365,3;;
ARM;Armenia;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2017;2017;PKM;Passenger-kilometres;6;Millions;;;2336,7;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2012;2012;TONNE;Tonnes;3;Thousands;;;6840,1;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2013;2013;TONNE;Tonnes;3;Thousands;;;6435,8;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2014;2014;TONNE;Tonnes;3;Thousands;;;4440,4;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2015;2015;TONNE;Tonnes;3;Thousands;;;5134,2;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2016;2016;TONNE;Tonnes;3;Thousands;;;14393;;
ARM;Armenia;B-V-02_010_00;Total goods - tonnes (1 000);2017;2017;TONNE;Tonnes;3;Thousands;;;21204,9;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2012;2012;TONNE;Tonnes;3;Thousands;;;6840,1;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2013;2013;TONNE;Tonnes;3;Thousands;;;6435,8;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2014;2014;TONNE;Tonnes;3;Thousands;;;4440,4;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2015;2015;TONNE;Tonnes;3;Thousands;;;5134,2;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2016;2016;TONNE;Tonnes;3;Thousands;;;14393;;
ARM;Armenia;B-V-02_010_11;Operated for hire or reward;2017;2017;TONNE;Tonnes;3;Thousands;;;21204,9;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;5669,7;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;6122,9;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;4134,4;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;5035;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;14282,6;;
ARM;Armenia;B-V-02_010_21;National transport in the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;21047,7;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;299,6;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;130;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;108,1;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;8;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;10,4;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;14,5;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;870,8;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;182,9;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;197,9;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;91,2;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;100;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;142,7;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;513;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;641,1;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;726,4;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;479,4;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;675,9;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;725,1;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;513;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;641,1;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;726,4;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;479,4;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;675,9;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;725,1;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;136,1;;
