Rank,Player,Earnings,Nationality
1,Luke Humphries,"£1,885,750",English
2,Luke Littler,"£1,300,500",English
3,Michael van Gerwen,"£742,750",Dutch
4,Stephen Bunting,"£577,750",English
5,Rob Cross,"£558,750",English
6,Jonny Clayton,"£533,250",Wales
7,Damon Heta,"£514,000",Australia
8,Chris Dobey,"£510,750",England
9,Nathan Aspinall,"£508,000",England
10,James Wade,"£502,750",England
11,Gerwyn Price,"£485,000",Wales
12,Dave Chisnall,"£478,750",England
13,Peter Wright,"£469,750",Scotland
14,Gary Anderson,"£468,000",Scotland
15,Josh Rock,"£452,000",Northern Irleand
16,Danny Noppert,"£435,250",Dutch
17,Ross Smith,"£434,250",England
18,Martin Schindler,"£415,250",Germany
19,Ryan Searle,"£404,000",England
20,Michael Smith,"£390,750",England
21,Mike De Decker,"£390,250",Belgium
22,Dimitri Van den Bergh,"£386,750",Belgium
23,Gian van Veen,"£372,750",Dutch
24,Joe Cullen,"£370,500",Northern Irleand
25,Daryl Gurney,"£328,000",England
26,Ryan Joyce,"£320,250",England
27,Ritchie Edhouse,"£310,500",England
28,Andrew Gilding,"£308,500",England
29,Ricardo Pietreczko,"£291,250",Germany
30,Luke Woodhouse,"£286,500",England
31,Dirk van Duijvenbode,"£277,000",Dutch
32,Jermaine Wattimena,"£270,500",Dutch
Rank,Player,Earnings,Nationality
33,Krzysztof Ratajski,"£262,000",Poland
34,Brendan Dolan,"£256,750",Northern Irleand
35,Raymond van Barneveld,"£256,500",Dutch
36,Cameron Menzies,"£247,250",Scotland
37,Scott Williams,"£234,750",England
38,Martin Lukeman,"£222,250",England
39,Gabriel Clemens,"£205,000",German
40,Callan Rydz,"£178,000",England
41,Kevin Doets,"£174,250",Dutch
42,Mickey Mansell,"£154,000",Northern Ireland
43,Madars Razma,"£152,500",Latvia
44,Ricky Evans,"£149,500",England
45,Wessel Nijman,"£145,000",Dutch
46,Niels Zonneveld,"£143,500",Dutch
47,William O'Connor,"£132,000",Irleand
48,Kim Huybrechts,"£122,500",Belgium
49,José de Sousa,"£119,250",Portugal
50,Richard Veenstra,"£119,000",Dutch
51,Ian White,"£116,500",England
52,Florian Hempel,"£108,250",Germany
53,Matt Campbell,"£100,750",Canada
54,Keane Barry,"£99,000",Irleand
55,Jim Williams,"£95,250",Wales
56,Connor Scutt,"£94,250",England
57,Robert Owen,"£93,250",Wales
58,Alan Soutar,"£92,250",Scotland
59,Jeffrey de Graaf,"£90,000",Sweden
60,Nick Kenny,"£89,750",Wales
61,Stephen Burton,"£87,250",England
62,Mensur Suljović,"£84,250",Austria
63,Dylan Slevin,"£82,750",Irleand
64,Ryan Meikle,"£76,500",England
Rank,Player,Earnings,Nationality
65,Thibault Tricole,"£69,750",France
66,Dom Taylor,"£58,500",England
67,James Hurrell,"£58,000",England
68,Mario Vandenbogaerde,"£49,750",Belgium
69,Chris Landman,"£48,250",Dutch
70,Andy Baetens,"£36,500",Belgium
71,Matthew Dennant,"£36,250",England
72,Berry van Peer,"£35,000",Dutch
73,Patrick Geeraets,"£33,250",Dutch
74,Rhys Griffin,"£33,000",Wales
75,Nathan Rafferty,"£32,250",Northern Ireland
76,Steve Lennon,"£32,000",Ireland
77,Lukas Wenig,"£30,750",Germany
78,Darren Beveridge,"£29,750",Scotland
79,Radek Szagański,"£29,500",Poland
80,Jitse Van der Wal,"£28,500",Dutch
81,Adam Hunt,"£27,500",England
82,Jelle Klaasen,"£27,250",Dutch
83,Owen Bates,"£26,500",England
84,Danny Lauby,"£25,750",United States of America
85,Karel Sedláček,"£24,250",Czech Republic
86,Haupai Puha,"£24,000",New Zealand
87,Martijn Dragt,"£23,000",Dutch
88,Adam Lipscombe,"£22,750",England
89,William Borland,"£22,000",Scotland
90,Robert Grundy,"£21,750",England
91,Benjamin Reus,"£21,500",Denmark
92,George Killington,"£21,000",England
93,Niko Springer,"£20,250",Germany
94,Brett Claydon,"£19,000",England
95,Sebastian Białecki,"£18,500",Poland
96,Dominik Grüllich,"£16,750",Germany
96,Cam Crabtree,"£16,750",England
98,Bradley Brooks,"£15,250",England
99,Justin Hood,"£15,000",England
100,Darius Labanauskas,"£14,750",Lithuania
101,Max Hopp,"£13,250",Germany
101,Joshua Richardson,"£13,250",England
101,Thomas Lovely,"£13,250",England
104,Andy Boulton,"£12,000",Scotland
104,Michele Turetta,"£12,000",Italy
106,Maik Kuivenhoven,"£11,000",Dutch
107,Darryl Pilgrim,"£10,250",England
108,Christian Kist,"£10,000",Dutch
109,Marvin van Velzen,"£9,250",Dutch
110,Stefan Bellmont,"£8,500",Switzerland
110,Tim Wolters,"£8,500",Germany
112,Jim Long,"£8,250",Canada
113,Wesley Plaisier,"£8,000",Dutch
114,Jimmy van Schie,"£7,500",Dutch
114,Tavis Dudeney,"£7,500",England
