"","Rank","Player","iso_a3"
"1",1,"Luke Humphries","GBR"
"2",2,"Rob Cross","GBR"
"3",3,"Michael van Gerwen","NLD"
"4",4,"Nathan Aspinall","GBR"
"5",5,"Gerwyn Price","GBR"
"6",6,"Dave Chisnall","GBR"
"7",7,"Jonny Clayton","GBR"
"8",8,"Damon Heta","AUS"
"9",9,"Peter Wright","GBR"
"10",10,"Andrew Gilding","GBR"
"11",11,"James Wade","GBR"
"12",12,"Stephen Bunting","GBR"
"13",13,"Joe Cullen","GBR"
"14",14,"Michael Smith","GBR"
"15",15,"Danny Noppert","NLD"
"16",16,"Chris Dobey","GBR"
"17",17,"Luke Littler","GBR"
"18",18,"Josh Rock","GBR"
"19",19,"Dirk van Duijvenbode","NLD"
"20",20,"Gary Anderson","GBR"
"21",21,"Ryan Searle","GBR"
"22",22,"Krzysztof Ratajski","POL"
"23",23,"Brendan Dolan","GBR"
"24",24,"Daryl Gurney","GBR"
"25",25,"Martin Schindler","DEU"
"26",26,"Ross Smith","GBR"
"27",27,"Gabriel Clemens","DEU"
"28",28,"Dimitri Van den Bergh","BEL"
"29",29,"Ricardo Pietreczko","DEU"
"30",30,"Scott Williams","GBR"
"31",31,"Gian van Veen","NLD"
"32",32,"Raymond van Barneveld","NLD"
"33",33,"Jose de Sousa","PRT"
"34",34,"Ryan Joyce","GBR"
"35",35,"Luke Woodhouse","GBR"
"36",36,"Mike De Decker","BEL"
"37",37,"Kim Huybrechts","BEL"
"38",38,"Callan Rydz","GBR"
"39",39,"Jim Williams","GBR"
"40",40,"Richard Veenstra","NLD"
"41",41,"Steve Beaton","GBR"
"42",42,"Madars Razma","LVA"
"43",43,"Matt Campbell","CAN"
"44",44,"Kevin Doets","NLD"
"45",45,"Keane Barry","IRL"
"46",46,"Ricky Evans","GBR"
"47",47,"Radek Szaganski","POL"
"48",48,"Steve Lennon","IRL"
"49",49,"William O'Connor","IRL"
"50",50,"Mario Vandenbogaerde","BEL"
"51",51,"Simon Whitlock","AUS"
"52",52,"Jermaine Wattimena","NLD"
"53",53,"Ian White","GBR"
"54",54,"Niels Zonneveld","NLD"
"55",55,"Boris Krcmar","HRV"
"56",56,"Connor Scutt","GBR"
"57",57,"Martin Lukeman","GBR"
"58",58,"Florian Hempel","DEU"
"59",59,"Mickey Mansell","GBR"
"60",60,"Cameron Menzies","GBR"
"61",61,"Berry van Peer","NLD"
"62",62,"Lee Evans","GBR"
"63",63,"Jamie Hughes","GBR"
"64",64,"Dylan Slevin","IRL"
