"","Rank","Player","Earnings","Nationality","country_name","iso_a3"
"1","1","Luke Humphries","£1,885,750","English","United Kingdom","GBR"
"2","2","Luke Littler","£1,300,500","English","United Kingdom","GBR"
"3","3","Michael van Gerwen","£742,750","Dutch","Netherlands","NLD"
"4","4","Stephen Bunting","£577,750","English","United Kingdom","GBR"
"5","5","Rob Cross","£558,750","English","United Kingdom","GBR"
"6","6","Jonny Clayton","£533,250","Wales","United Kingdom","GBR"
"7","7","Damon Heta","£514,000","Australia","Australia","AUS"
"8","8","Chris Dobey","£510,750","England","United Kingdom","GBR"
"9","9","Nathan Aspinall","£508,000","England","United Kingdom","GBR"
"10","10","James Wade","£502,750","England","United Kingdom","GBR"
"11","11","Gerwyn Price","£485,000","Wales","United Kingdom","GBR"
"12","12","Dave Chisnall","£478,750","England","United Kingdom","GBR"
"13","13","Peter Wright","£469,750","Scotland","United Kingdom","GBR"
"14","14","Gary Anderson","£468,000","Scotland","United Kingdom","GBR"
"15","15","Josh Rock","£452,000","Northern Irleand","United Kingdom","GBR"
"16","16","Danny Noppert","£435,250","Dutch","Netherlands","NLD"
"17","17","Ross Smith","£434,250","England","United Kingdom","GBR"
"18","18","Martin Schindler","£415,250","Germany","Germany","DEU"
"19","19","Ryan Searle","£404,000","England","United Kingdom","GBR"
"20","20","Michael Smith","£390,750","England","United Kingdom","GBR"
"21","21","Mike De Decker","£390,250","Belgium","Belgium","BEL"
"22","22","Dimitri Van den Bergh","£386,750","Belgium","Belgium","BEL"
"23","23","Gian van Veen","£372,750","Dutch","Netherlands","NLD"
"24","24","Joe Cullen","£370,500","Northern Irleand","United Kingdom","GBR"
"25","25","Daryl Gurney","£328,000","England","United Kingdom","GBR"
"26","26","Ryan Joyce","£320,250","England","United Kingdom","GBR"
"27","27","Ritchie Edhouse","£310,500","England","United Kingdom","GBR"
"28","28","Andrew Gilding","£308,500","England","United Kingdom","GBR"
"29","29","Ricardo Pietreczko","£291,250","Germany","Germany","DEU"
"30","30","Luke Woodhouse","£286,500","England","United Kingdom","GBR"
"31","31","Dirk van Duijvenbode","£277,000","Dutch","Netherlands","NLD"
"32","32","Jermaine Wattimena","£270,500","Dutch","Netherlands","NLD"
"33","33","Krzysztof Ratajski","£262,000","Poland","Poland","POL"
"34","34","Brendan Dolan","£256,750","Northern Irleand","United Kingdom","GBR"
"35","35","Raymond van Barneveld","£256,500","Dutch","Netherlands","NLD"
"36","36","Cameron Menzies","£247,250","Scotland","United Kingdom","GBR"
"37","37","Scott Williams","£234,750","England","United Kingdom","GBR"
"38","38","Martin Lukeman","£222,250","England","United Kingdom","GBR"
"39","39","Gabriel Clemens","£205,000","German","Germany","DEU"
"40","40","Callan Rydz","£178,000","England","United Kingdom","GBR"
"41","41","Kevin Doets","£174,250","Dutch","Netherlands","NLD"
"42","42","Mickey Mansell","£154,000","Northern Ireland","United Kingdom","GBR"
"43","43","Madars Razma","£152,500","Latvia","Latvia","LVA"
"44","44","Ricky Evans","£149,500","England","United Kingdom","GBR"
"45","45","Wessel Nijman","£145,000","Dutch","Netherlands","NLD"
"46","46","Niels Zonneveld","£143,500","Dutch","Netherlands","NLD"
"47","47","William O'Connor","£132,000","Irleand","Ireland","IRL"
"48","48","Kim Huybrechts","£122,500","Belgium","Belgium","BEL"
"49","49","José de Sousa","£119,250","Portugal","Portugal","PRT"
"50","50","Richard Veenstra","£119,000","Dutch","Netherlands","NLD"
"51","51","Ian White","£116,500","England","United Kingdom","GBR"
"52","52","Florian Hempel","£108,250","Germany","Germany","DEU"
"53","53","Matt Campbell","£100,750","Canada","Canada","CAN"
"54","54","Keane Barry","£99,000","Irleand","Ireland","IRL"
"55","55","Jim Williams","£95,250","Wales","United Kingdom","GBR"
"56","56","Connor Scutt","£94,250","England","United Kingdom","GBR"
"57","57","Robert Owen","£93,250","Wales","United Kingdom","GBR"
"58","58","Alan Soutar","£92,250","Scotland","United Kingdom","GBR"
"59","59","Jeffrey de Graaf","£90,000","Sweden","Sweden","SWE"
"60","60","Nick Kenny","£89,750","Wales","United Kingdom","GBR"
"61","61","Stephen Burton","£87,250","England","United Kingdom","GBR"
"62","62","Mensur Suljović","£84,250","Austria","Austria","AUT"
"63","63","Dylan Slevin","£82,750","Irleand","Ireland","IRL"
"64","64","Ryan Meikle","£76,500","England","United Kingdom","GBR"
"65","65","Thibault Tricole","£69,750","France","France","FRA"
"66","66","Dom Taylor","£58,500","England","United Kingdom","GBR"
"67","67","James Hurrell","£58,000","England","United Kingdom","GBR"
"68","68","Mario Vandenbogaerde","£49,750","Belgium","Belgium","BEL"
"69","69","Chris Landman","£48,250","Dutch","Netherlands","NLD"
"70","70","Andy Baetens","£36,500","Belgium","Belgium","BEL"
"71","71","Matthew Dennant","£36,250","England","United Kingdom","GBR"
"72","72","Berry van Peer","£35,000","Dutch","Netherlands","NLD"
"73","73","Patrick Geeraets","£33,250","Dutch","Netherlands","NLD"
"74","74","Rhys Griffin","£33,000","Wales","United Kingdom","GBR"
"75","75","Nathan Rafferty","£32,250","Northern Ireland","United Kingdom","GBR"
"76","76","Steve Lennon","£32,000","Ireland","Ireland","IRL"
"77","77","Lukas Wenig","£30,750","Germany","Germany","DEU"
"78","78","Darren Beveridge","£29,750","Scotland","United Kingdom","GBR"
"79","79","Radek Szagański","£29,500","Poland","Poland","POL"
"80","80","Jitse Van der Wal","£28,500","Dutch","Netherlands","NLD"
"81","81","Adam Hunt","£27,500","England","United Kingdom","GBR"
"82","82","Jelle Klaasen","£27,250","Dutch","Netherlands","NLD"
"83","83","Owen Bates","£26,500","England","United Kingdom","GBR"
"84","84","Danny Lauby","£25,750","United States of America","United States of America","USA"
"85","85","Karel Sedláček","£24,250","Czech Republic","Czech Republic","CZE"
"86","86","Haupai Puha","£24,000","New Zealand","New Zealand","NZL"
"87","87","Martijn Dragt","£23,000","Dutch","Netherlands","NLD"
"88","88","Adam Lipscombe","£22,750","England","United Kingdom","GBR"
"89","89","William Borland","£22,000","Scotland","United Kingdom","GBR"
"90","90","Robert Grundy","£21,750","England","United Kingdom","GBR"
"91","91","Benjamin Reus","£21,500","Denmark","Denmark","DNK"
"92","92","George Killington","£21,000","England","United Kingdom","GBR"
"93","93","Niko Springer","£20,250","Germany","Germany","DEU"
"94","94","Brett Claydon","£19,000","England","United Kingdom","GBR"
"95","95","Sebastian Białecki","£18,500","Poland","Poland","POL"
"96","96","Dominik Grüllich","£16,750","Germany","Germany","DEU"
"97","96","Cam Crabtree","£16,750","England","United Kingdom","GBR"
"98","98","Bradley Brooks","£15,250","England","United Kingdom","GBR"
"99","99","Justin Hood","£15,000","England","United Kingdom","GBR"
"100","100","Darius Labanauskas","£14,750","Lithuania","Lithuania","LTU"
"101","101","Max Hopp","£13,250","Germany","Germany","DEU"
"102","101","Joshua Richardson","£13,250","England","United Kingdom","GBR"
"103","101","Thomas Lovely","£13,250","England","United Kingdom","GBR"
"104","104","Andy Boulton","£12,000","Scotland","United Kingdom","GBR"
"105","104","Michele Turetta","£12,000","Italy","Italy","ITA"
"106","106","Maik Kuivenhoven","£11,000","Dutch","Netherlands","NLD"
"107","107","Darryl Pilgrim","£10,250","England","United Kingdom","GBR"
"108","108","Christian Kist","£10,000","Dutch","Netherlands","NLD"
"109","109","Marvin van Velzen","£9,250","Dutch","Netherlands","NLD"
"110","110","Stefan Bellmont","£8,500","Switzerland","Switzerland","CHE"
"111","110","Tim Wolters","£8,500","Germany","Germany","DEU"
"112","112","Jim Long","£8,250","Canada","Canada","CAN"
"113","113","Wesley Plaisier","£8,000","Dutch","Netherlands","NLD"
"114","114","Jimmy van Schie","£7,500","Dutch","Netherlands","NLD"
"115","114","Tavis Dudeney","£7,500","England","United Kingdom","GBR"
"116","116","Leon Weber","£7,000","Germany","Germany","DEU"
"117","116","Kevin Burness","£7,000","Northern Ireland","United Kingdom","GBR"
"118","118","Tom Bissell","£6,500","England","United Kingdom","GBR"
"119","118","Rusty-Jake Rodriguez","£6,500","Austria","Austria","AUT"
"120","118","Boris Krčmar","£6,500","Croatia","Croatia","HRV"
"121","121","Oskar Lukasiak","£6,250","Sweden","Sweden","SWE"
"122","122","Greg Ritchie","£6,000","Scotland","United Kingdom","GBR"
"123","123","Stefaan Henderyck","£5,500","Belgium","Belgium","BEL"
"124","123","Carl Sneyd","£5,500","England","United Kingdom","GBR"
"125","123","Beau Greaves","£5,500","England","United Kingdom","GBR"
"126","126","Daniel Klose","£5,000","Germany","Germany","DEU"
"127","126","Ted Evetts","£5,000","England","United Kingdom","GBR"
"128","126","Tommy Lishman","£5,000","England","United Kingdom","GBR"
"129","126","Adam Warner","£5,000","England","United Kingdom","GBR"
"130","126","Jurjen van der Velde","£5,000","Dutch","Netherlands","NLD"
"131","131","Tom Sykes","£4,500","England","United Kingdom","GBR"
"132","131","Cor Dekker","£4,500","Norway","Norway","NOR"
"133","133","Andreas Harrysson","£4,250","Sweden","Sweden","SWE"
"134","134","Jarno Bottenberg","£4,000","Dutch","Netherlands","NLD"
"135","134","Kai Gotthardt","£4,000","Germany","Germany","DEU"
"136","134","Jules van Dongen","£4,000","United States of America","United States of America","USA"
"137","137","Michael Unterbuchner","£3,750","Germany","Germany","DEU"
"138","137","Aden Kirk","£3,750","England","United Kingdom","GBR"
"139","139","Maximilian Czerwinski","£3,500","Germany","Germany","DEU"
"140","139","Tytus Kanik","£3,500","Poland","Poland","POL"
"141","139","Danny van Trijp","£3,500","Dutch","Netherlands","NLD"
"142","142","Adam Paxton","£3,250","England","United Kingdom","GBR"
"143","143","Johan Engström","£2,500","Sweden","Sweden","SWE"
"144","143","Paul Krohne","£2,500","Germany","Germany","DEU"
"145","143","Graham Usher","£2,500","England","United Kingdom","GBR"
"146","143","Mervyn King","£2,500","England","United Kingdom","GBR"
"147","147","Nathan Girvan","£2,250","Scotland","United Kingdom","GBR"
"148","148","Alexander Merkx","£2,000","Dutch","Netherlands","NLD"
"149","148","Graham Hall","£2,000","England","United Kingdom","GBR"
"150","150","Jeffrey Sparidaans","£1,500","Dutch","Netherlands","NLD"
"151","151","Benjamin Pratnemer","£1,250","Slovenia","Slovenia","SVN"
"152","151","Marcel Erba","£1,250","Germany","Germany","DEU"
"153","151","Christian Gödl","£1,250","Austria","Austria","AUT"
"154","151","György Jehirszki","£1,250","Hungary","Hungary","HUN"
"155","151","Rowby-John Rodriguez","£1,250","Austria","Austria","AUT"
"156","151","Teemu Harju","£1,250","Finland","Finland","FIN"
"157","151","Zoran Lerchbacher","£1,250","Austria","Austria","AUT"
"158","151","András Borbély","£1,250","Hungary","Hungary","HUN"
"159","151","Finn Behrens","£1,250","Germany","Germany","DEU"
"160","151","Michael Rosenauer","£1,250","Germany","Germany","DEU"
"161","151","René Eidams","£1,250","Germany","Germany","DEU"
"162","151","Kevin Knopf","£1,250","Germany","Germany","DEU"
"163","151","Patrick Klingelhöfer","£1,250","Germany","Germany","DEU"
"164","151","Paul Goyer","£1,250","Germany","Germany","DEU"
"165","151","Petr Křivka","£1,250","Czech Republic","Czech Republic","CZE"
"166","151","Laurin Welk","£1,250","Germany","Germany","DEU"
"167","151","Marko Kantele","£1,250","Finland","Finland","FIN"
"168","151","Cedric Waegemans","£1,250","Belgium","Belgium","BEL"
"169","151","François Schweyen","£1,250","Belgium","Belgium","BEL"
"170","151","Patrick De Backer","£1,250","Belgium","Belgium","BEL"
"171","151","Sybren Gijbels","£1,250","Belgium","Belgium","BEL"
"172","172","Scott Campbell","£1,000","Scotland","United Kingdom","GBR"
"173","172","Viktor Tingström","£1,000","Sweden","Sweden","SWE"
"174","172","Paul Rowley","£1,000","England","United Kingdom","GBR"
"175","172","Shaun Fox","£1,000","England","United Kingdom","GBR"
"176","172","Simon Stevenson","£1,000","England","United Kingdom","GBR"
"177","172","Tommy Morris","£1,000","England","United Kingdom","GBR"
"178","172","Michael Flynn","£1,000","Ireland","Ireland","IRL"
"179","179","Henry Coates","£750","England","United Kingdom","GBR"
"180","179","Pero Ljubić","£750","Croatia","Croatia","HRV"
"181","179","Ryan Branley","£750","England","United Kingdom","GBR"
