"city","concert_id","opener_ar1","opener_ar2","date","tick_sales","is_mashup_1","surp_1","album_1","is_mashup_2","surp_2","album_2","cancel","cancel_cause","wkt_geom","place","x","y","lon","lat"
"Glendale",1,"Paramore","Gayle","17.03.2023",78600,"false","Mirrorball","folklore","false","Tim McGraw","Taylor Swift (debut)","false","","Point (-112.26266821610485636 33.52772634311506295)","State Farm Stadium","-112.263","33.528",-118.2478471,34.1469416
"Glendale",2,"Paramore","Gayle","18.03.2023",78600,"false","This Is Me Trying","folklore","false","State of Grace","Red","false","","Point (-112.26266821610485636 33.52772634311506295)","State Farm Stadium","-122.263","33.528",-118.2478471,34.1469416
"Las Vegas",3,"Beabadoobee","Gayle","24.03.2023",71835,"false","Our Song","Taylor Swift (debut)","false","Snow on the Beach","Midnights","false","","Point (-115.18330431355067844 36.09074577844533138)","Allegiant Stadium","-115.183","36.091",-115.1463536,36.171697
"Las Vegas",4,"Beabadoobee","Gayle","25.03.2023",71835,"false","Cowboy like Me","evermore","false","White Horse","Fearless","false","","Point (-115.18330431355067844 36.09074577844533138)","Allegiant Stadium","-115.183","36.091",-115.1463536,36.171697
"Arlington",5,"Muna","Gayle","31.03.2023",105000,"false","Sad Beautiful Tragic","Red","false","Ours","Speak Now","false","","Point (-97.09292585262728892 32.74779430872554542)","AT&T Stadium","-97.093","32.748",-97.1071186,32.7355816
"Arlington",6,"Beabadoobee","Gracie Abrams","01.04.2023",105000,"false","Death by a Thousand Cuts","Lover","false","Clean","1989","false","","Point (-97.09292585262728892 32.74779430872554542)","AT&T Stadium","-97.093","32.748",-97.1071186,32.7355816
"Arlington",7,"Beabadoobee","Gracie Abrams","02.04.2023",105000,"false","Jump then Fall","Fearless","false","The Lucky One","Red","false","","Point (-97.09292585262728892 32.74779430872554542)","AT&T Stadium","-97.093","32.748",-97.1071186,32.7355816
"Tampa",8,"Beabadoobee","Gayle","13.04.2023",75000,"false","Speak Now","Speak Now","false","Treacherous","Red","false","","Point (-82.50334858637130253 27.97596826762611855)","Raymond James Stadium","-82.503","27.976",-82.458444,27.9477595
"Tampa",9,"Beabadoobee","Gracie Abrams","14.04.2023",75000,"false","The Great War","Midnights","false","You're on Your Own, Kid","Midnights","false","","Point (-82.50334858637130253 27.97596826762611855)","Raymond James Stadium","-82.503","27.976",-82.458444,27.9477595
"Tampa",10,"Beabadoobee","Gracie Abrams","15.04.2023",75000,"false","Mean","Speak Now","false","Mad Woman","folklore","false","","Point (-82.50334858637130253 27.97596826762611855)","Raymond James Stadium","-82.503","27.976",-82.458444,27.9477595
