Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2eAvDnpXP5W0cVtiI0PUxV,"Dandelions","Safe Haven","Ruth B.",2017-05-05,233720,88,,1970-01-01T00:00:00Z,"","Columbia",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
spotify:track:6IPwKM3fUUzlElbvKw2sKl,"we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,85,,1970-01-01T00:00:00Z,"bedroom pop","world in red",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
spotify:track:0oUBuOO4g9P4lREqfqR5nq,"A Man Without Love","A Man Without Love","Engelbert Humperdinck",1968-08-03,203133,71,,1970-01-01T00:00:00Z,"","Decca (UMO)",0.538,0.467,2,-9.589,1,0.0327,0.637,0,0.115,0.507,111.766,4
spotify:track:6YYeBYEpkiR84eCDNPBDoF,"Meant to Be Yours","Heathers: The Musical (World Premiere Cast Recording)","Ryan McCartan,Barrett Wilbert Weed,Michelle Duffy",2014-06-10,205826,68,,1970-01-01T00:00:00Z,"musicals","Yellow Sound Label",0.505,0.589,6,-6.916,1,0.0852,0.514,0,0.058,0.585,99.648,4
spotify:track:4sNwdacKyi2S26WrRtNama,"Oh No!","The Family Jewels","MARINA",2009-07-15,182586,74,,1970-01-01T00:00:00Z,"","WM UK",0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,4
spotify:track:2e3ZtFtjaPvcBgJy3xpXFT,"Flying Solo (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms: Season 1 (From the Netflix Original Series)","Julie and the Phantoms Cast,Madison Reyes,Charlie Gillespie,Owen Patrick Joyner,Jeremy Shada",2020-09-10,184807,58,,1970-01-01T00:00:00Z,"","Columbia",0.556,0.592,0,-5.285,0,0.065,0.00946,0.00000249,0.0683,0.381,165.983,4
spotify:track:0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve","Imagine Dragons",2017-06-23,204346,89,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,88,,1970-01-01T00:00:00Z,"","RCA Records Label",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
spotify:track:7f6RiVFXqUT3dWi35OznLI,"I Can't Decide","Ta-Dah","Scissor Sisters",2006-01-01,166573,61,,1970-01-01T00:00:00Z,"","Polydor Records",0.69,0.807,3,-4.912,1,0.0326,0.239,0,0.205,0.869,96.991,4
spotify:track:0GjEhVFGZW8afUYGChu3Rr,"Dancing Queen","Arrival","ABBA",1976,230400,87,,1970-01-01T00:00:00Z,"","Polar Music International AB",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
