"SeasonID","League","team","Minuta","Gole"
2002,"premier-league","Arsenal","0-10",12
2002,"premier-league","Arsenal","11-20",10
2002,"premier-league","Arsenal","21-30",10
2002,"premier-league","Arsenal","31-40",4
2002,"premier-league","Arsenal","41-50",13
2002,"premier-league","Arsenal","51-60",6
2002,"premier-league","Arsenal","61-70",8
2002,"premier-league","Arsenal","71-80",6
2002,"premier-league","Arsenal","81-90",14
2002,"premier-league","Aston Villa","0-10",5
2002,"premier-league","Aston Villa","11-20",3
2002,"premier-league","Aston Villa","21-30",3
2002,"premier-league","Aston Villa","31-40",6
2002,"premier-league","Aston Villa","41-50",5
2002,"premier-league","Aston Villa","51-60",2
2002,"premier-league","Aston Villa","61-70",5
2002,"premier-league","Aston Villa","71-80",5
2002,"premier-league","Aston Villa","81-90",7
2002,"premier-league","Birmingham","0-10",2
2002,"premier-league","Birmingham","11-20",2
2002,"premier-league","Birmingham","31-40",4
2002,"premier-league","Birmingham","41-50",5
2002,"premier-league","Birmingham","51-60",4
2002,"premier-league","Birmingham","61-70",5
2002,"premier-league","Birmingham","71-80",8
2002,"premier-league","Birmingham","81-90",9
2002,"premier-league","Blackburn","0-10",5
2002,"premier-league","Blackburn","11-20",6
2002,"premier-league","Blackburn","21-30",5
2002,"premier-league","Blackburn","31-40",6
2002,"premier-league","Blackburn","41-50",4
2002,"premier-league","Blackburn","51-60",11
2002,"premier-league","Blackburn","61-70",2
2002,"premier-league","Blackburn","71-80",5
2002,"premier-league","Blackburn","81-90",5
2002,"premier-league","Bolton","0-10",7
2002,"premier-league","Bolton","11-20",1
2002,"premier-league","Bolton","21-30",1
2002,"premier-league","Bolton","31-40",2
2002,"premier-league","Bolton","41-50",4
2002,"premier-league","Bolton","51-60",4
2002,"premier-league","Bolton","61-70",5
2002,"premier-league","Bolton","71-80",4
2002,"premier-league","Bolton","81-90",10
2002,"premier-league","Charlton","0-10",4
2002,"premier-league","Charlton","11-20",3
2002,"premier-league","Charlton","21-30",4
2002,"premier-league","Charlton","31-40",4
2002,"premier-league","Charlton","41-50",10
2002,"premier-league","Charlton","51-60",5
2002,"premier-league","Charlton","61-70",1
2002,"premier-league","Charlton","71-80",6
2002,"premier-league","Charlton","81-90",6
2002,"premier-league","Chelsea","0-10",4
2002,"premier-league","Chelsea","11-20",3
2002,"premier-league","Chelsea","21-30",8
2002,"premier-league","Chelsea","31-40",7
2002,"premier-league","Chelsea","41-50",10
2002,"premier-league","Chelsea","51-60",11
2002,"premier-league","Chelsea","61-70",4
2002,"premier-league","Chelsea","71-80",5
2002,"premier-league","Chelsea","81-90",14
2002,"premier-league","Everton","0-10",2
2002,"premier-league","Everton","11-20",5
2002,"premier-league","Everton","21-30",6
2002,"premier-league","Everton","31-40",6
2002,"premier-league","Everton","41-50",5
2002,"premier-league","Everton","51-60",8
2002,"premier-league","Everton","61-70",5
2002,"premier-league","Everton","71-80",4
2002,"premier-league","Everton","81-90",7
2002,"premier-league","Fulham","0-10",3
2002,"premier-league","Fulham","11-20",3
2002,"premier-league","Fulham","21-30",2
2002,"premier-league","Fulham","31-40",9
2002,"premier-league","Fulham","41-50",2
2002,"premier-league","Fulham","51-60",3
2002,"premier-league","Fulham","61-70",3
2002,"premier-league","Fulham","71-80",6
2002,"premier-league","Fulham","81-90",6
2002,"premier-league","Leeds","0-10",7
2002,"premier-league","Leeds","11-20",8
2002,"premier-league","Leeds","21-30",4
2002,"premier-league","Leeds","31-40",3
2002,"premier-league","Leeds","41-50",10
2002,"premier-league","Leeds","51-60",5
2002,"premier-league","Leeds","61-70",5
2002,"premier-league","Leeds","71-80",8
2002,"premier-league","Leeds","81-90",8
2002,"premier-league","Liverpool","0-10",4
2002,"premier-league","Liverpool","11-20",6
2002,"premier-league","Liverpool","21-30",2
2002,"premier-league","Liverpool","31-40",4
2002,"premier-league","Liverpool","41-50",6
2002,"premier-league","Liverpool","51-60",8
2002,"premier-league","Liverpool","61-70",10
2002,"premier-league","Liverpool","71-80",8
2002,"premier-league","Liverpool","81-90",13
2002,"premier-league","Manchester City","0-10",2
2002,"premier-league","Manchester City","11-20",2
2002,"premier-league","Manchester City","21-30",8
2002,"premier-league","Manchester City","31-40",4
2002,"premier-league","Manchester City","41-50",3
2002,"premier-league","Manchester City","51-60",3
2002,"premier-league","Manchester City","61-70",4
2002,"premier-league","Manchester City","71-80",8
2002,"premier-league","Manchester City","81-90",11
2002,"premier-league","Manchester Utd","0-10",4
2002,"premier-league","Manchester Utd","11-20",8
2002,"premier-league","Manchester Utd","21-30",7
2002,"premier-league","Manchester Utd","31-40",9
2002,"premier-league","Manchester Utd","41-50",5
2002,"premier-league","Manchester Utd","51-60",9
2002,"premier-league","Manchester Utd","61-70",10
2002,"premier-league","Manchester Utd","71-80",7
2002,"premier-league","Manchester Utd","81-90",13
2002,"premier-league","Middlesbrough","11-20",2
2002,"premier-league","Middlesbrough","21-30",8
2002,"premier-league","Middlesbrough","31-40",9
2002,"premier-league","Middlesbrough","41-50",3
2002,"premier-league","Middlesbrough","51-60",8
2002,"premier-league","Middlesbrough","61-70",6
2002,"premier-league","Middlesbrough","71-80",5
2002,"premier-league","Middlesbrough","81-90",7
2002,"premier-league","Newcastle","0-10",5
2002,"premier-league","Newcastle","11-20",5
2002,"premier-league","Newcastle","21-30",2
2002,"premier-league","Newcastle","31-40",9
2002,"premier-league","Newcastle","41-50",8
2002,"premier-league","Newcastle","51-60",8
2002,"premier-league","Newcastle","61-70",5
2002,"premier-league","Newcastle","71-80",7
2002,"premier-league","Newcastle","81-90",12
2002,"premier-league","Southampton","0-10",3
2002,"premier-league","Southampton","11-20",1
2002,"premier-league","Southampton","21-30",2
2002,"premier-league","Southampton","31-40",7
2002,"premier-league","Southampton","41-50",7
2002,"premier-league","Southampton","51-60",7
2002,"premier-league","Southampton","61-70",1
2002,"premier-league","Southampton","71-80",4
2002,"premier-league","Southampton","81-90",10
2002,"premier-league","Sunderland","11-20",2
2002,"premier-league","Sunderland","21-30",1
2002,"premier-league","Sunderland","31-40",3
2002,"premier-league","Sunderland","41-50",2
2002,"premier-league","Sunderland","51-60",3
2002,"premier-league","Sunderland","61-70",5
2002,"premier-league","Sunderland","71-80",1
2002,"premier-league","Sunderland","81-90",3
2002,"premier-league","Tottenham","0-10",5
2002,"premier-league","Tottenham","11-20",5
2002,"premier-league","Tottenham","21-30",2
2002,"premier-league","Tottenham","31-40",5
2002,"premier-league","Tottenham","41-50",7
2002,"premier-league","Tottenham","51-60",3
2002,"premier-league","Tottenham","61-70",7
2002,"premier-league","Tottenham","71-80",3
2002,"premier-league","Tottenham","81-90",13
2002,"premier-league","West Brom","0-10",2
2002,"premier-league","West Brom","11-20",3
2002,"premier-league","West Brom","21-30",5
2002,"premier-league","West Brom","31-40",2
2002,"premier-league","West Brom","41-50",3
2002,"premier-league","West Brom","51-60",3
2002,"premier-league","West Brom","61-70",2
2002,"premier-league","West Brom","71-80",5
2002,"premier-league","West Brom","81-90",4
2002,"premier-league","West Ham","11-20",4
2002,"premier-league","West Ham","21-30",3
2002,"premier-league","West Ham","31-40",3
